FirstName,LastName,TableNumber
James,Anderson,1
Sarah,Anderson,1
Michael,Bennett,2
Emily,Bennett,2
Robert,Chen,3
Lisa,Chen,3
David,Clarke,4
Jennifer,Clarke,4
Thomas,Davis,5
Amanda,Davis,5
Christopher,Evans,6
Michelle,Evans,6
Daniel,Foster,7
Rachel,Foster,7
Matthew,Garcia,8
Jessica,Garcia,8
Andrew,Harris,9
Stephanie,Harris,9
Joshua,Jackson,10
Megan,Jackson,10
William,King,1
Olivia,King,1
Ryan,Lewis,2
Hannah,Lewis,2
Nathan,Martin,3
Ashley,Martin,3
Kevin,Moore,4
Brittany,Moore,4
Brian,Nelson,5
Lauren,Nelson,5
Justin,Parker,6
Samantha,Parker,6
Tyler,Quinn,7
Kayla,Quinn,7
Eric,Roberts,8
Nicole,Roberts,8
Adam,Scott,9
Amber,Scott,9
Kyle,Taylor,10
Chelsea,Taylor,10
